,,,,,
,,,,,
,,Instruction,Execution Unit number,Latency,Notes
,,add.s,Unit 1,1,
,,sub.s,Unit 1,1,
,,mul.s,Unit 4,2,
,,div.s,Unit 2,66,
,,mod.s,Unit 2,66,
,,or.s,Unit 1,1,
,,and.s,Unit 1,1,
,,xor.s,Unit 1,1,
,,sll.s,Unit 1,1,
,,srl.s,Unit 1,1,
,,sra.s,Unit 1,1,
,,bfts.s,Unit 2,1,
,,add.bf,Unit 3,1,
,,sub.bf,Unit 3,1,
,,mul.bf,Unit 3,1,
,,rcp.bf,Unit 2,11,
,,sqrt.bf ,Unit 2,11,
,,stbf.s,Unit 2,1,
,,addi.s,Unit 1,1,
,,subi.s,Unit 1,1,
,,muli.s,Unit 4,2,
,,divi.s,Unit 2,66,
,,modi.s,Unit 2,66,
,,ori.s,Unit 1,1,
,,andi.s,Unit 1,1,
,,xori.s,Unit 1,1,
,,slli.s,Unit 1,1,
,,srli.s,Unit 1,1,
,,srai.s,Unit 1,1,
,,jalr.s,Unit 1,1,
,,beq.s,Unit 1,1,
,,bne.s,Unit 1,1,
,,blt.s,Unit 1,1,
,,bge.s,Unit 1,1,
,,bgt.s,Unit 1,1,
,,ble.s,Unit 1,1,
,,lw.s,Unit 5,x,4 cycle hit (might be different for writes not sure)
,,sw.s,Unit 5,x,4 cycle hit (might be different for writes not sure)
,,lhw.s,Unit 5,x,4 cycle hit (might be different for writes not sure)
,,shw.s,Unit 5,x,4 cycle hit (might be different for writes not sure)
,,jal,Unit 1,1,
,,lui.s,Unit 1,1,
