bf16_hex,x_times_invln2_fp32
0000,0
3DCD,0.144410387
3E4D,0.288820773
3E9A,0.433935612
3ECD,0.577641547
3F00,0.721347511
3F1A,0.867871225
3F33,1.00875938
3F4D,1.15528309
3F66,1.29617131
3F80,1.44269502
3F8D,1.58921874
3F9A,1.73574245
3FA6,1.87099516
3FB3,2.01751876
3FC0,2.16404247
3FCD,2.31056619
3FDA,2.4570899
3FE6,2.59234262
3FF3,2.73886633
4000,2.88539004
4006,3.02064276
400D,3.17843747
4013,3.31369019
401A,3.4714849
4020,3.60673761
4026,3.74199033
402D,3.89978504
4033,4.03503752
403A,4.19283247
4040,4.32808495
4046,4.4633379
404D,4.62113237
4053,4.75638533
405A,4.9141798
4060,5.04943275
4066,5.18468523
406D,5.34248018
4073,5.47773266
407A,5.63552761
4080,5.77078009
4083,5.90603304
4086,6.04128551
408A,6.22162247
408D,6.35687494
4090,6.4921279
4093,6.62738037
4096,6.76263285
409A,6.9429698
409D,7.07822275
40A0,7.21347523
40A3,7.3487277
40A6,7.48398066
40AA,7.66431761
40AD,7.79957008
40B0,7.93482256
40B3,8.07007504
40B6,8.20532799
40BA,8.38566494
40BD,8.52091789
40C0,8.65616989
40C3,8.79142284
40C6,8.9266758
40CA,9.10701275
40CD,9.24226475
40D0,9.3775177
40D3,9.51277065
40D6,9.64802265
40DA,9.8283596
40DD,9.96361256
40E0,10.0988655
40E3,10.2341175
40E6,10.3693705
40EA,10.5497074
40ED,10.6849604
40F0,10.8202124
40F3,10.9554653
40F6,11.0907183
40FA,11.2710552
40FD,11.4063072
4100,11.5415602
4102,11.7218971
4103,11.8120661
4105,11.9924021
4106,12.082571
4108,12.262908
410A,12.4432449
410B,12.5334129
410D,12.7137499
410E,12.8039188
4110,12.9842558
4112,13.1645918
4113,13.2547607
4115,13.4350977
4116,13.5252657
4118,13.7056026
411A,13.8859396
411B,13.9761086
411D,14.1564455
411E,14.2466135
4120,14.4269505
4122,14.6072874
4123,14.6974554
4125,14.8777924
4126,14.9679613
4128,15.1482983
412A,15.3286352
412B,15.4188032
412D,15.5991402
412E,15.6893082
4130,15.8696451
4132,16.0499821
4133,16.1401501
4135,16.320488
4136,16.410656
4138,16.5909939
413A,16.7713299
413B,16.8614979
413D,17.0418358
413E,17.1320038
4140,17.3123398
4142,17.4926777
4143,17.5828457
4145,17.7631836
4146,17.8533516
4148,18.0336876
414A,18.2140255
414B,18.3041935
414D,18.4845295
414E,18.5746994
4150,18.7550354
4152,18.9353733
4153,19.0255413
4155,19.2058773
4156,19.2960453
4158,19.4763832
415A,19.6567192
415B,19.7468891
415D,19.9272251
415E,20.0173931
4160,20.197731
4162,20.378067
4163,20.468235
4165,20.6485729
4166,20.7387409
4168,20.9190788
416A,21.0994148
416B,21.1895828
416D,21.3699207
416E,21.4600887
4170,21.6404247
4172,21.8207626
4173,21.9109306
4175,22.0912685
4176,22.1814365
4178,22.3617725
417A,22.5421104
417B,22.6322784
417D,22.8126144
417E,22.9027843
4180,23.0831203
4181,23.2634583
4182,23.4437943
4182,23.4437943
4183,23.6241322
4184,23.8044682
4185,23.9848042
4186,24.1651421
4186,24.1651421
4187,24.3454781
4188,24.525816
4189,24.706152
418A,24.8864899
418A,24.8864899
418B,25.0668259
418C,25.2471638
418D,25.4274998
418E,25.6078377
418E,25.6078377
418F,25.7881737
4190,25.9685116
4191,26.1488476
4192,26.3291836
4192,26.3291836
4193,26.5095215
4194,26.6898575
4195,26.8701954
4196,27.0505314
4196,27.0505314
4197,27.2308693
4198,27.4112053
4199,27.5915432
419A,27.7718792
419A,27.7718792
419B,27.9522171
419C,28.1325531
419D,28.312891
419E,28.493227
419E,28.493227
419F,28.673563
41A0,28.8539009
41A1,29.0342369
41A2,29.2145748
41A2,29.2145748
41A3,29.3949108
41A4,29.5752487
41A5,29.7555847
41A6,29.9359226
41A6,29.9359226
41A7,30.1162586
41A8,30.2965965
41A9,30.4769325
41AA,30.6572704
41AA,30.6572704
41AB,30.8376064
41AC,31.0179424
41AD,31.1982803
41AE,31.3786163
41AE,31.3786163
41AF,31.5589542
41B0,31.7392902
41B1,31.9196281
41B2,32.0999641
41B2,32.0999641
41B3,32.2803001
41B4,32.46064
41B5,32.640976
41B6,32.821312
41B6,32.821312
41B7,33.0016479
41B8,33.1819878
41B9,33.3623238
41BA,33.5426598
41BA,33.5426598
41BB,33.7229958
41BC,33.9033318
41BD,34.0836716
41BE,34.2640076
41BE,34.2640076
41BF,34.4443436
41C0,34.6246796
41C1,34.8050194
41C2,34.9853554
41C2,34.9853554
41C3,35.1656914
41C4,35.3460274
41C5,35.5263672
41C6,35.7067032
41C6,35.7067032
41C7,35.8870392
41C8,36.0673752
41C9,36.2477112
41CA,36.428051
41CA,36.428051
41CB,36.608387
41CC,36.788723
41CD,36.969059
41CE,37.1493988
41CE,37.1493988
41CF,37.3297348
41D0,37.5100708
41D1,37.6904068
41D2,37.8707466
41D2,37.8707466
41D3,38.0510826
41D4,38.2314186
41D5,38.4117546
41D6,38.5920906
41D6,38.5920906
41D7,38.7724304
41D8,38.9527664
41D9,39.1331024
41DA,39.3134384
41DA,39.3134384
41DB,39.4937782
41DC,39.6741142
41DD,39.8544502
41DE,40.0347862
41DE,40.0347862
41DF,40.215126
41E0,40.395462
41E1,40.575798
41E2,40.756134
41E2,40.756134
41E3,40.93647
41E4,41.1168098
41E5,41.2971458
41E6,41.4774818
41E6,41.4774818
41E7,41.6578178
41E8,41.8381577
41E9,42.0184937
41EA,42.1988297
41EA,42.1988297
41EB,42.3791656
41EC,42.5595055
41ED,42.7398415
41EE,42.9201775
41EE,42.9201775
41EF,43.1005135
41F0,43.2808495
41F1,43.4611893
41F2,43.6415253
41F2,43.6415253
41F3,43.8218613
41F4,44.0021973
41F5,44.1825371
41F6,44.3628731
41F6,44.3628731
41F7,44.5432091
41F8,44.7235451
41F9,44.9038849
41FA,45.0842209
41FA,45.0842209
41FB,45.2645569
41FC,45.4448929
41FD,45.6252289
41FE,45.8055687
41FE,45.8055687
41FF,45.9859047
4200,46.1662407
4200,46.1662407
4201,46.5269165
4201,46.5269165
4202,46.8875885
4202,46.8875885
4202,46.8875885
4203,47.2482643
4203,47.2482643
4204,47.6089363
4204,47.6089363
4204,47.6089363
4205,47.9696083
4205,47.9696083
4206,48.3302841
4206,48.3302841
4206,48.3302841
4207,48.6909561
4207,48.6909561
4208,49.0516319
4208,49.0516319
4208,49.0516319
4209,49.4123039
4209,49.4123039
420A,49.7729797
420A,49.7729797
420A,49.7729797
420B,50.1336517
420B,50.1336517
420C,50.4943275
420C,50.4943275
420C,50.4943275
420D,50.8549995
420D,50.8549995
420E,51.2156754
420E,51.2156754
420E,51.2156754
420F,51.5763474
420F,51.5763474
4210,51.9370232
4210,51.9370232
4210,51.9370232
4211,52.2976952
4211,52.2976952
4212,52.6583672
4212,52.6583672
4212,52.6583672
4213,53.019043
4213,53.019043
4214,53.379715
4214,53.379715
4214,53.379715
4215,53.7403908
4215,53.7403908
4216,54.1010628
4216,54.1010628
4216,54.1010628
4217,54.4617386
4217,54.4617386
4218,54.8224106
4218,54.8224106
4218,54.8224106
4219,55.1830864
4219,55.1830864
421A,55.5437584
421A,55.5437584
421A,55.5437584
421B,55.9044342
421B,55.9044342
421C,56.2651062
421C,56.2651062
421C,56.2651062
421D,56.625782
421D,56.625782
421E,56.986454
421E,56.986454
421E,56.986454
421F,57.347126
421F,57.347126
4220,57.7078018
4220,57.7078018
4220,57.7078018
4221,58.0684738
4221,58.0684738
4222,58.4291496
4222,58.4291496
4222,58.4291496
4223,58.7898216
4223,58.7898216
4224,59.1504974
4224,59.1504974
4224,59.1504974
4225,59.5111694
4225,59.5111694
4226,59.8718452
4226,59.8718452
4226,59.8718452
4227,60.2325172
4227,60.2325172
4228,60.5931931
4228,60.5931931
4228,60.5931931
4229,60.9538651
4229,60.9538651
422A,61.3145409
422A,61.3145409
422A,61.3145409
422B,61.6752129
422B,61.6752129
422C,62.0358849
422C,62.0358849
422C,62.0358849
422D,62.3965607
422D,62.3965607
422E,62.7572327
422E,62.7572327
422E,62.7572327
422F,63.1179085
422F,63.1179085
4230,63.4785805
4230,63.4785805
4230,63.4785805
4231,63.8392563
4231,63.8392563
4232,64.1999283
4232,64.1999283
4232,64.1999283
4233,64.5606003
4233,64.5606003
4234,64.9212799
4234,64.9212799
4234,64.9212799
4235,65.2819519
4235,65.2819519
4236,65.6426239
4236,65.6426239
4236,65.6426239
4237,66.0032959
4237,66.0032959
4238,66.3639755
4238,66.3639755
4238,66.3639755
4239,66.7246475
4239,66.7246475
423A,67.0853195
423A,67.0853195
423A,67.0853195
423B,67.4459915
423B,67.4459915
423C,67.8066635
423C,67.8066635
423C,67.8066635
423D,68.1673431
423D,68.1673431
423E,68.5280151
423E,68.5280151
423E,68.5280151
423F,68.8886871
423F,68.8886871
4240,69.2493591
4240,69.2493591
4240,69.2493591
4241,69.6100388
4241,69.6100388
4242,69.9707108
4242,69.9707108
4242,69.9707108
4243,70.3313828
4243,70.3313828
4244,70.6920547
4244,70.6920547
4244,70.6920547
4245,71.0527344
4245,71.0527344
4246,71.4134064
4246,71.4134064
4246,71.4134064
4247,71.7740784
4247,71.7740784
4248,72.1347504
4248,72.1347504
4248,72.1347504
4249,72.4954224
4249,72.4954224
424A,72.856102
424A,72.856102
424A,72.856102
424B,73.216774
424B,73.216774
424C,73.577446
424C,73.577446
424C,73.577446
424D,73.938118
424D,73.938118
424E,74.2987976
424E,74.2987976
424E,74.2987976
424F,74.6594696
424F,74.6594696
4250,75.0201416
4250,75.0201416
4250,75.0201416
4251,75.3808136
4251,75.3808136
4252,75.7414932
4252,75.7414932
4252,75.7414932
4253,76.1021652
4253,76.1021652
4254,76.4628372
4254,76.4628372
4254,76.4628372
4255,76.8235092
4255,76.8235092
4256,77.1841812
4256,77.1841812
4256,77.1841812
4257,77.5448608
4257,77.5448608
4258,77.9055328
4258,77.9055328
4258,77.9055328
4259,78.2662048
4259,78.2662048
425A,78.6268768
425A,78.6268768
425A,78.6268768
425B,78.9875565
425B,78.9875565
425C,79.3482285
425C,79.3482285
425C,79.3482285
425D,79.7089005
425D,79.7089005
425E,80.0695724
425E,80.0695724
425E,80.0695724
425F,80.4302521
425F,80.4302521
4260,80.7909241
4260,80.7909241
4260,80.7909241
4261,81.1515961
4261,81.1515961
4262,81.5122681
4262,81.5122681
4262,81.5122681
4263,81.8729401
4263,81.8729401
4264,82.2336197
4264,82.2336197
4264,82.2336197
4265,82.5942917
4265,82.5942917
4266,82.9549637
4266,82.9549637
4266,82.9549637
4267,83.3156357
4267,83.3156357
4268,83.6763153
4268,83.6763153
4268,83.6763153
4269,84.0369873
4269,84.0369873
426A,84.3976593
426A,84.3976593
426A,84.3976593
426B,84.7583313
426B,84.7583313
426C,85.1190109
426C,85.1190109
426C,85.1190109
426D,85.4796829
426D,85.4796829
426E,85.8403549
426E,85.8403549
426E,85.8403549
426F,86.2010269
426F,86.2010269
4270,86.5616989
4270,86.5616989
4270,86.5616989
4271,86.9223785
4271,86.9223785
4272,87.2830505
4272,87.2830505
4272,87.2830505
4273,87.6437225
4273,87.6437225
4274,88.0043945
4274,88.0043945
4274,88.0043945
4275,88.3650742
4275,88.3650742
4276,88.7257462
4276,88.7257462
4276,88.7257462
4277,89.0864182
4277,89.0864182
4278,89.4470901
4278,89.4470901
4278,89.4470901
4279,89.8077698
4279,89.8077698
427A,90.1684418
427A,90.1684418
427A,90.1684418
427B,90.5291138
427B,90.5291138
427C,90.8897858
427C,90.8897858
427C,90.8897858
427D,91.2504578
427D,91.2504578
427E,91.6111374
427E,91.6111374
427E,91.6111374
427F,91.9718094
427F,91.9718094
4280,92.3324814
4280,92.3324814
4280,92.3324814
4280,92.3324814
4281,93.053833
4281,93.053833
4281,93.053833
4281,93.053833
4281,93.053833
4282,93.775177
4282,93.775177
4282,93.775177
4282,93.775177
4282,93.775177
4283,94.4965286
4283,94.4965286
4283,94.4965286
4283,94.4965286
4283,94.4965286
4284,95.2178726
4284,95.2178726
4284,95.2178726
4284,95.2178726
4284,95.2178726
4285,95.9392166
4285,95.9392166
4285,95.9392166
4285,95.9392166
4285,95.9392166
4286,96.6605682
4286,96.6605682
4286,96.6605682
4286,96.6605682
4286,96.6605682
4287,97.3819122
4287,97.3819122
4287,97.3819122
4287,97.3819122
4287,97.3819122
4288,98.1032639
4288,98.1032639
4288,98.1032639
4288,98.1032639
4288,98.1032639
4289,98.8246078
4289,98.8246078
4289,98.8246078
4289,98.8246078
4289,98.8246078
428A,99.5459595
428A,99.5459595
428A,99.5459595
428A,99.5459595
428A,99.5459595
428B,100.267303
428B,100.267303
428B,100.267303
428B,100.267303
428B,100.267303
428C,100.988655
428C,100.988655
428C,100.988655
428C,100.988655
428C,100.988655
428D,101.709999
428D,101.709999
428D,101.709999
428D,101.709999
428D,101.709999
428E,102.431351
428E,102.431351
428E,102.431351
428E,102.431351
428E,102.431351
428F,103.152695
428F,103.152695
428F,103.152695
428F,103.152695
428F,103.152695
4290,103.874046
4290,103.874046
4290,103.874046
4290,103.874046
4290,103.874046
4291,104.59539
4291,104.59539
4291,104.59539
4291,104.59539
4291,104.59539
4292,105.316734
4292,105.316734
4292,105.316734
4292,105.316734
4292,105.316734
4293,106.038086
4293,106.038086
4293,106.038086
4293,106.038086
4293,106.038086
4294,106.75943
4294,106.75943
4294,106.75943
4294,106.75943
4294,106.75943
4295,107.480782
4295,107.480782
4295,107.480782
4295,107.480782
4295,107.480782
4296,108.202126
4296,108.202126
4296,108.202126
4296,108.202126
4296,108.202126
4297,108.923477
4297,108.923477
4297,108.923477
4297,108.923477
4297,108.923477
4298,109.644821
4298,109.644821
4298,109.644821
4298,109.644821
4298,109.644821
4299,110.366173
4299,110.366173
4299,110.366173
4299,110.366173
4299,110.366173
429A,111.087517
429A,111.087517
429A,111.087517
429A,111.087517
429A,111.087517
429B,111.808868
429B,111.808868
429B,111.808868
429B,111.808868
429B,111.808868
429C,112.530212
429C,112.530212
429C,112.530212
429C,112.530212
429C,112.530212
429D,113.251564
429D,113.251564
429D,113.251564
429D,113.251564
429D,113.251564
429E,113.972908
429E,113.972908
429E,113.972908
429E,113.972908
429E,113.972908
429F,114.694252
429F,114.694252
429F,114.694252
429F,114.694252
429F,114.694252
42A0,115.415604
42A0,115.415604
42A0,115.415604
42A0,115.415604
42A0,115.415604
