# 8b Adder (BF16 exponent path) Exhaustive TB Errors
# Fields: carry exp1 exp2 | exp_sum_expected ovf_expected unf_expected | exp_sum_got ovf_got unf_got

ERROR: carry=0 exp1=0(0x00) exp2=0(0x00) | exp_sum_exp=129(0x81) ovf_exp=0 unf_exp=0 | exp_sum_got=129(0x81) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=1(0x01) | exp_sum_exp=130(0x82) ovf_exp=0 unf_exp=0 | exp_sum_got=130(0x82) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=2(0x02) | exp_sum_exp=131(0x83) ovf_exp=0 unf_exp=0 | exp_sum_got=131(0x83) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=3(0x03) | exp_sum_exp=132(0x84) ovf_exp=0 unf_exp=0 | exp_sum_got=132(0x84) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=4(0x04) | exp_sum_exp=133(0x85) ovf_exp=0 unf_exp=0 | exp_sum_got=133(0x85) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=5(0x05) | exp_sum_exp=134(0x86) ovf_exp=0 unf_exp=0 | exp_sum_got=134(0x86) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=6(0x06) | exp_sum_exp=135(0x87) ovf_exp=0 unf_exp=0 | exp_sum_got=135(0x87) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=7(0x07) | exp_sum_exp=136(0x88) ovf_exp=0 unf_exp=0 | exp_sum_got=136(0x88) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=8(0x08) | exp_sum_exp=137(0x89) ovf_exp=0 unf_exp=0 | exp_sum_got=137(0x89) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=9(0x09) | exp_sum_exp=138(0x8a) ovf_exp=0 unf_exp=0 | exp_sum_got=138(0x8a) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=10(0x0a) | exp_sum_exp=139(0x8b) ovf_exp=0 unf_exp=0 | exp_sum_got=139(0x8b) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=11(0x0b) | exp_sum_exp=140(0x8c) ovf_exp=0 unf_exp=0 | exp_sum_got=140(0x8c) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=12(0x0c) | exp_sum_exp=141(0x8d) ovf_exp=0 unf_exp=0 | exp_sum_got=141(0x8d) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=13(0x0d) | exp_sum_exp=142(0x8e) ovf_exp=0 unf_exp=0 | exp_sum_got=142(0x8e) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=14(0x0e) | exp_sum_exp=143(0x8f) ovf_exp=0 unf_exp=0 | exp_sum_got=143(0x8f) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=15(0x0f) | exp_sum_exp=144(0x90) ovf_exp=0 unf_exp=0 | exp_sum_got=144(0x90) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=16(0x10) | exp_sum_exp=145(0x91) ovf_exp=0 unf_exp=0 | exp_sum_got=145(0x91) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=17(0x11) | exp_sum_exp=146(0x92) ovf_exp=0 unf_exp=0 | exp_sum_got=146(0x92) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=18(0x12) | exp_sum_exp=147(0x93) ovf_exp=0 unf_exp=0 | exp_sum_got=147(0x93) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=19(0x13) | exp_sum_exp=148(0x94) ovf_exp=0 unf_exp=0 | exp_sum_got=148(0x94) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=20(0x14) | exp_sum_exp=149(0x95) ovf_exp=0 unf_exp=0 | exp_sum_got=149(0x95) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=21(0x15) | exp_sum_exp=150(0x96) ovf_exp=0 unf_exp=0 | exp_sum_got=150(0x96) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=22(0x16) | exp_sum_exp=151(0x97) ovf_exp=0 unf_exp=0 | exp_sum_got=151(0x97) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=23(0x17) | exp_sum_exp=152(0x98) ovf_exp=0 unf_exp=0 | exp_sum_got=152(0x98) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=24(0x18) | exp_sum_exp=153(0x99) ovf_exp=0 unf_exp=0 | exp_sum_got=153(0x99) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=25(0x19) | exp_sum_exp=154(0x9a) ovf_exp=0 unf_exp=0 | exp_sum_got=154(0x9a) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=26(0x1a) | exp_sum_exp=155(0x9b) ovf_exp=0 unf_exp=0 | exp_sum_got=155(0x9b) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=27(0x1b) | exp_sum_exp=156(0x9c) ovf_exp=0 unf_exp=0 | exp_sum_got=156(0x9c) ovf_got=0 unf_got=1
ERROR: carry=0 exp1=0(0x00) exp2=28(0x1c) | exp_sum_exp=157(0x9d) ovf_exp=0 unf_exp=0 | exp_sum_got=157(0x9d) ovf_got=0 unf_got=1
