Path,Config,Variance,Latency_Cycles,Logic_Depths,Total_Adders,Total_Reg_Signals,Filename
15_2,1,0.5,2,"[1, 2]",15,2,path_15_2/V0_5_S2_cfg_1.sv
15_2,0,0.0,1,[3],15,0,path_15_2/V0_0_S1_cfg_0.sv
7_3,1,0.5,2,"[1, 2]",15,3,path_7_3/V0_5_S2_cfg_1.sv
7_3,0,0.0,1,[3],15,0,path_7_3/V0_0_S1_cfg_0.sv
7_2_2,11,0.333,3,"[1, 1, 2]",15,5,path_7_2_2/V0_333_S3_cfg_11.sv
7_2_2,10,2,2,"[1, 3]",15,3,path_7_2_2/V2_S2_cfg_10.sv
7_2_2,01,0,2,"[2, 2]",15,2,path_7_2_2/V0_S2_cfg_01.sv
7_2_2,00,0.0,1,[4],15,0,path_7_2_2/V0_0_S1_cfg_00.sv
3_6,1,0.5,2,"[1, 2]",15,6,path_3_6/V0_5_S2_cfg_1.sv
3_6,0,0.0,1,[3],15,0,path_3_6/V0_0_S1_cfg_0.sv
3_3_2,11,0.333,3,"[1, 1, 2]",15,8,path_3_3_2/V0_333_S3_cfg_11.sv
3_3_2,10,2,2,"[1, 3]",15,6,path_3_3_2/V2_S2_cfg_10.sv
3_3_2,01,0,2,"[2, 2]",15,2,path_3_3_2/V0_S2_cfg_01.sv
3_3_2,00,0.0,1,[4],15,0,path_3_3_2/V0_0_S1_cfg_00.sv
3_2_3,11,0.333,3,"[1, 1, 2]",15,9,path_3_2_3/V0_333_S3_cfg_11.sv
3_2_3,10,2,2,"[1, 3]",15,6,path_3_2_3/V2_S2_cfg_10.sv
3_2_3,01,0,2,"[2, 2]",15,3,path_3_2_3/V0_S2_cfg_01.sv
3_2_3,00,0.0,1,[4],15,0,path_3_2_3/V0_0_S1_cfg_00.sv
3_2_2_2,111,0.25,4,"[1, 1, 1, 2]",15,11,path_3_2_2_2/V0_25_S4_cfg_111.sv
3_2_2_2,110,1.333,3,"[1, 1, 3]",15,9,path_3_2_2_2/V1_333_S3_cfg_110.sv
3_2_2_2,101,0.333,3,"[1, 2, 2]",15,8,path_3_2_2_2/V0_333_S3_cfg_101.sv
3_2_2_2,100,4.5,2,"[1, 4]",15,6,path_3_2_2_2/V4_5_S2_cfg_100.sv
3_2_2_2,011,0.333,3,"[2, 1, 2]",15,5,path_3_2_2_2/V0_333_S3_cfg_011.sv
3_2_2_2,010,0.5,2,"[2, 3]",15,3,path_3_2_2_2/V0_5_S2_cfg_010.sv
3_2_2_2,001,0.5,2,"[3, 2]",15,2,path_3_2_2_2/V0_5_S2_cfg_001.sv
3_2_2_2,000,0.0,1,[5],15,0,path_3_2_2_2/V0_0_S1_cfg_000.sv
2_8,1,0.5,2,"[1, 2]",15,8,path_2_8/V0_5_S2_cfg_1.sv
2_8,0,0.0,1,[3],15,0,path_2_8/V0_0_S1_cfg_0.sv
2_7_2,11,0.333,3,"[1, 1, 2]",15,10,path_2_7_2/V0_333_S3_cfg_11.sv
2_7_2,10,2,2,"[1, 3]",15,8,path_2_7_2/V2_S2_cfg_10.sv
2_7_2,01,0,2,"[2, 2]",15,2,path_2_7_2/V0_S2_cfg_01.sv
2_7_2,00,0.0,1,[4],15,0,path_2_7_2/V0_0_S1_cfg_00.sv
2_3_3,11,0.333,3,"[1, 1, 2]",15,11,path_2_3_3/V0_333_S3_cfg_11.sv
2_3_3,10,2,2,"[1, 3]",15,8,path_2_3_3/V2_S2_cfg_10.sv
2_3_3,01,0,2,"[2, 2]",15,3,path_2_3_3/V0_S2_cfg_01.sv
2_3_3,00,0.0,1,[4],15,0,path_2_3_3/V0_0_S1_cfg_00.sv
2_3_2_2,111,0.25,4,"[1, 1, 1, 2]",15,13,path_2_3_2_2/V0_25_S4_cfg_111.sv
2_3_2_2,110,1.333,3,"[1, 1, 3]",15,11,path_2_3_2_2/V1_333_S3_cfg_110.sv
2_3_2_2,101,0.333,3,"[1, 2, 2]",15,10,path_2_3_2_2/V0_333_S3_cfg_101.sv
2_3_2_2,100,4.5,2,"[1, 4]",15,8,path_2_3_2_2/V4_5_S2_cfg_100.sv
2_3_2_2,011,0.333,3,"[2, 1, 2]",15,5,path_2_3_2_2/V0_333_S3_cfg_011.sv
2_3_2_2,010,0.5,2,"[2, 3]",15,3,path_2_3_2_2/V0_5_S2_cfg_010.sv
2_3_2_2,001,0.5,2,"[3, 2]",15,2,path_2_3_2_2/V0_5_S2_cfg_001.sv
2_3_2_2,000,0.0,1,[5],15,0,path_2_3_2_2/V0_0_S1_cfg_000.sv
2_2_4,11,0.333,3,"[1, 1, 2]",15,12,path_2_2_4/V0_333_S3_cfg_11.sv
2_2_4,10,2,2,"[1, 3]",15,8,path_2_2_4/V2_S2_cfg_10.sv
2_2_4,01,0,2,"[2, 2]",15,4,path_2_2_4/V0_S2_cfg_01.sv
2_2_4,00,0.0,1,[4],15,0,path_2_2_4/V0_0_S1_cfg_00.sv
2_2_3_2,111,0.25,4,"[1, 1, 1, 2]",15,14,path_2_2_3_2/V0_25_S4_cfg_111.sv
2_2_3_2,110,1.333,3,"[1, 1, 3]",15,12,path_2_2_3_2/V1_333_S3_cfg_110.sv
2_2_3_2,101,0.333,3,"[1, 2, 2]",15,10,path_2_2_3_2/V0_333_S3_cfg_101.sv
2_2_3_2,100,4.5,2,"[1, 4]",15,8,path_2_2_3_2/V4_5_S2_cfg_100.sv
2_2_3_2,011,0.333,3,"[2, 1, 2]",15,6,path_2_2_3_2/V0_333_S3_cfg_011.sv
2_2_3_2,010,0.5,2,"[2, 3]",15,4,path_2_2_3_2/V0_5_S2_cfg_010.sv
2_2_3_2,001,0.5,2,"[3, 2]",15,2,path_2_2_3_2/V0_5_S2_cfg_001.sv
2_2_3_2,000,0.0,1,[5],15,0,path_2_2_3_2/V0_0_S1_cfg_000.sv
2_2_2_2,111,0.25,4,"[1, 1, 1, 2]",15,14,path_2_2_2_2/V0_25_S4_cfg_111.sv
2_2_2_2,110,1.333,3,"[1, 1, 3]",15,12,path_2_2_2_2/V1_333_S3_cfg_110.sv
2_2_2_2,101,0.333,3,"[1, 2, 2]",15,10,path_2_2_2_2/V0_333_S3_cfg_101.sv
2_2_2_2,100,4.5,2,"[1, 4]",15,8,path_2_2_2_2/V4_5_S2_cfg_100.sv
2_2_2_2,011,0.333,3,"[2, 1, 2]",15,6,path_2_2_2_2/V0_333_S3_cfg_011.sv
2_2_2_2,010,0.5,2,"[2, 3]",15,4,path_2_2_2_2/V0_5_S2_cfg_010.sv
2_2_2_2,001,0.5,2,"[3, 2]",15,2,path_2_2_2_2/V0_5_S2_cfg_001.sv
2_2_2_2,000,0.0,1,[5],15,0,path_2_2_2_2/V0_0_S1_cfg_000.sv
