Path,Config,Variance,Latency_Cycles,Logic_Depths,Total_Adders,Total_Reg_Signals,Filename
16_2,1,0.5,2,"[1, 2]",31,2,path_16_2/add32_tree_16_2_pipe_1_lat2_var0_5.sv
16_2,0,0.0,1,[3],31,0,path_16_2/add32_tree_16_2_pipe_0_lat1_var0_0.sv
8_4,1,0.5,2,"[1, 2]",31,4,path_8_4/add32_tree_8_4_pipe_1_lat2_var0_5.sv
8_4,0,0.0,1,[3],31,0,path_8_4/add32_tree_8_4_pipe_0_lat1_var0_0.sv
8_2_2,11,0.333,3,"[1, 1, 2]",31,6,path_8_2_2/add32_tree_8_2_2_pipe_11_lat3_var0_333.sv
8_2_2,10,2,2,"[1, 3]",31,4,path_8_2_2/add32_tree_8_2_2_pipe_10_lat2_var2.sv
8_2_2,01,0,2,"[2, 2]",31,2,path_8_2_2/add32_tree_8_2_2_pipe_01_lat2_var0.sv
8_2_2,00,0.0,1,[4],31,0,path_8_2_2/add32_tree_8_2_2_pipe_00_lat1_var0_0.sv
4_8,1,0.5,2,"[1, 2]",31,8,path_4_8/add32_tree_4_8_pipe_1_lat2_var0_5.sv
4_8,0,0.0,1,[3],31,0,path_4_8/add32_tree_4_8_pipe_0_lat1_var0_0.sv
4_4_2,11,0.333,3,"[1, 1, 2]",31,10,path_4_4_2/add32_tree_4_4_2_pipe_11_lat3_var0_333.sv
4_4_2,10,2,2,"[1, 3]",31,8,path_4_4_2/add32_tree_4_4_2_pipe_10_lat2_var2.sv
4_4_2,01,0,2,"[2, 2]",31,2,path_4_4_2/add32_tree_4_4_2_pipe_01_lat2_var0.sv
4_4_2,00,0.0,1,[4],31,0,path_4_4_2/add32_tree_4_4_2_pipe_00_lat1_var0_0.sv
4_2_4,11,0.333,3,"[1, 1, 2]",31,12,path_4_2_4/add32_tree_4_2_4_pipe_11_lat3_var0_333.sv
4_2_4,10,2,2,"[1, 3]",31,8,path_4_2_4/add32_tree_4_2_4_pipe_10_lat2_var2.sv
4_2_4,01,0,2,"[2, 2]",31,4,path_4_2_4/add32_tree_4_2_4_pipe_01_lat2_var0.sv
4_2_4,00,0.0,1,[4],31,0,path_4_2_4/add32_tree_4_2_4_pipe_00_lat1_var0_0.sv
4_2_2_2,111,0.25,4,"[1, 1, 1, 2]",31,14,path_4_2_2_2/add32_tree_4_2_2_2_pipe_111_lat4_var0_25.sv
4_2_2_2,110,1.333,3,"[1, 1, 3]",31,12,path_4_2_2_2/add32_tree_4_2_2_2_pipe_110_lat3_var1_333.sv
4_2_2_2,101,0.333,3,"[1, 2, 2]",31,10,path_4_2_2_2/add32_tree_4_2_2_2_pipe_101_lat3_var0_333.sv
4_2_2_2,100,4.5,2,"[1, 4]",31,8,path_4_2_2_2/add32_tree_4_2_2_2_pipe_100_lat2_var4_5.sv
4_2_2_2,011,0.333,3,"[2, 1, 2]",31,6,path_4_2_2_2/add32_tree_4_2_2_2_pipe_011_lat3_var0_333.sv
4_2_2_2,010,0.5,2,"[2, 3]",31,4,path_4_2_2_2/add32_tree_4_2_2_2_pipe_010_lat2_var0_5.sv
4_2_2_2,001,0.5,2,"[3, 2]",31,2,path_4_2_2_2/add32_tree_4_2_2_2_pipe_001_lat2_var0_5.sv
4_2_2_2,000,0.0,1,[5],31,0,path_4_2_2_2/add32_tree_4_2_2_2_pipe_000_lat1_var0_0.sv
2_16,1,0.5,2,"[1, 2]",31,16,path_2_16/add32_tree_2_16_pipe_1_lat2_var0_5.sv
2_16,0,0.0,1,[3],31,0,path_2_16/add32_tree_2_16_pipe_0_lat1_var0_0.sv
