a,b,c,expected
dc66,3db3,035c,de44
950e,f46a,d447,d1c4
aebc,2c14,d666,d666
1879,41d2,f4d6,f4d6
914a,55ca,b857,b8d2
ed74,ac63,eb67,eaa8
3e97,a082,0695,a360
fd34,0301,e957,7e00
f5eb,fd9d,db25,7e00
0981,14bf,93bb,93bb
9914,44a0,d1cb,d1cb
4d39,7015,18fc,7c00
f2eb,6b58,fe30,7e00
a1da,643a,49fe,b620
dea9,47ff,fddb,7e00
0abb,e3cf,e70e,e70e
00bd,fbbd,4aae,4aae
8bbd,d232,076b,220d
de36,04f3,7b3f,7b3f
c5f8,2c82,0de4,b6b9
0f32,a286,7814,7814
eb48,38a6,5511,e812
2983,2258,a93b,a92a
a80d,20f1,a7f9,a807
2b08,5d59,0a34,4cb3
db81,e553,d85b,7c00
d56e,5bbb,e5c6,f59b
bdab,e9fc,4307,6c3e
afae,a022,38cd,38cf
8c50,67a3,0631,b81e
0f67,5d83,4c01,4c0b
03fd,2d85,aa35,aa35
3469,cf03,9f35,c7bd
25dc,b2be,f991,f991
1ad9,162b,00a1,0000
90c9,67bd,83e3,bca1
f90d,7f5e,f32f,7e00
2d0e,71c7,9dcd,634d
eed6,64fb,03f8,fc00
5ebd,d927,5ed4,fc00
5acf,5eec,2151,7c00
436e,2434,5317,5319
2f99,f8d8,52fb,ec8c
98bb,217b,e1ec,e1ec
9c28,949c,c80e,c80e
ef2c,c040,bf58,739f
9f46,0a08,d557,d557
f480,07eb,0a87,c074
e5d7,bc3e,148a,6632
55f2,9a50,8187,b4b1
36a2,f1a2,f920,f9b6
317a,9704,0de9,0470
68e6,fbf9,9828,fc00
cc1b,5886,20c8,e8a5
7747,330b,bba1,6e68
cc20,5c2f,f1f6,f40f
8996,2e3d,36d7,36d7
e324,7862,4aab,fc00
f767,2ad5,5fda,e45c
a622,13c0,7ee2,7e00
ba64,1fae,35cd,35b4
6a82,cf00,4404,fc00
dcd9,81f6,1afe,1afe
b18d,6366,db1a,de1e
d188,00ce,540e,540e
5759,de29,5b7b,f9a1
c5cc,deb2,be3e,68d9
c35f,cae6,dcf0,dc25
a233,d3fc,b05f,3918
5783,46dd,39e4,6273
9d96,18e6,daec,daec
068e,ccaa,d21c,d21c
