a,b,c,d,expected
20903b2a,24fd6878,23ba39b2,a2d58ea0,250f971b
a46b7205,a27af84b,a3b0f12f,9cd615b3,a4a9cde7
1c231f0e,21f9fdf5,2125c952,1d44ec66,2226acbc
1e129c57,9c2681ed,1fba04cd,249fec25,24a01ee8
9d745c9e,a13923b9,1bb213a7,2171af5d,205eb627
a1a0d796,a011fa2f,a0c9f958,1cb3e033,a1e5683a
9fb29dad,1dc34899,1f35f8f3,1bd41100,9f153132
1b2b2704,1c794bdb,1e80ac32,21ae08f0,21b03023
9d304bdc,9ef006a3,1e6b9b35,9fe99272,a006d18a
23b2589b,208e80a2,9b883ab5,1eab932c,23b4bcfa
1d5c62d5,2404c8e3,1bce2591,21e44b4c,240bef16
1ca0bc64,2373a4f7,2471ae1f,9c045b62,24974c0d
2466be41,a4dbd4a8,a0b1038c,a46e89ea,a4e06b80
a39f41e4,a48fcb5a,1d41c893,1fe86263,a4b76037
9ca90885,24e102f9,1fe5e80b,9dc76b83,24e138ac
22f0b673,9f5952e2,9c618f94,9b0a8776,22eefbac
1c83640e,1f4a7833,9c8a8da8,a269dc65,a266b369
9b11680d,9e2b3dec,9c7c8a1e,22904bcf,228fed29
1b917b4d,9c46d91a,2341248d,22a1f442,23890e5b
1d6cda6c,1de55040,2184cf26,1c1fa8a3,21863ed9
1b53965c,1d2be348,1edaa4f4,a131ffe1,a12a719d
2249add8,9e7c3633,a45c3634,1c0dcc8a,a44faa8c
9f48fa20,1cc1d85d,9d559044,23334af0,23327aac
a3e33d19,9b875668,1ba493cd,1de36279,a3e32ec6
a103f1cb,2184bbd7,22161d12,1e8726e4,22388cd9
a426a26d,9fa1f842,1d31e99c,9fa37a8d,a427425f
1e6cce78,1c8847b4,a2f0550e,2137efba,a2d8d82b
a32d40eb,1ea8382a,1cdeb8fb,2370d2e6,2287da1a
a45e3753,a0793c3f,9b2a49ec,a0a6b09f,a4607e1b
2450f145,9f6c5ce2,9c315c89,1d34dbfc,2450b850
9ba0c3d1,1e1c93b8,9c79e0b5,1b7b7a30,1e0bdd77
23d4523a,226ef0a1,1e455814,1cdb6e3b,23f24c67
a0807e68,23d5c509,a0701736,1be943ab,23d1e3ca
20fea2d2,a1c07416,1b191199,1b9f7032,a180bca2
1c7267fb,1ca96ade,9b315ef3,1cc1c35e,1d671b2e
240c6ac1,232d6b31,9b0f02bb,227cf126,2447947c
1c46d634,1db42195,1c876e17,a1bbbefa,a1bad022
9ded1d78,1d06add5,1dcf2c20,232c362e,232c3adb
1d97382f,9f0d7f47,a3dba9c4,a10a384f,a3e038d3
a147f52b,9d984644,1ca49b85,238353c5,237a1a53
222c8df7,206b413b,a4919133,9d241b3f,a48bb86b
a34ed3b4,a1de697a,205121ab,2042adaa,a36451a6
9f8a5841,9b79d5c4,a3b7abd3,1f4d6907,a3b7cff4
9bcfce9a,9b141176,1ba43330,1d056e5f,1ced73b5
9f883ac2,a4f3c037,a0bb787f,9f9e25cf,a4f4c548
217cfa7c,1d9d3350,2331f56a,232c3b06,23b709df
1b8d3905,9ed257c3,1eded3e7,1e87ba19,1e966b21
a0cfcd9f,20b31d35,a496df0e,1e4be4b7,a496f55f
22ae9823,a1567130,23a85719,a3577fd7,2343135a
1dc255d3,24a223b7,1d6f1945,a2dad8cc,24947b12
9fb8e684,9dce6937,9fe02fe2,a4a5377e,a4a5a0fd
1dda5e71,9b22773a,1e6f67e4,9ca790bd,1ea28d94
21ff263b,a22bb124,2114eed5,212e7ad3,2112f18e
1cdae1c2,a3124958,1da2a853,a14789b4,a31ea6c7
9f0fcbdb,1be35d8f,1da72172,1eae1481,9e085ac5
1fb77f6d,9e5ae30b,a181df10,1ea6830d,a16b05a6
a3a1f438,1cce6072,2238ecc5,237a0cee,a1dcceee
9faec994,9d9727f9,1bc4248e,a19fcb85,a1ab4304
230fd329,a26cb984,9d77e52a,215afc9c,22c48a27
9fc5e85c,21b28469,a083aa66,209557ac,21aa9135
a2d8c9aa,a141b304,2349adfa,9dbb53e9,22a22d15
237e48b6,a368fa55,a37bebf9,22016ba6,a34642ae
a3405348,1b88e625,a17f852a,21f89375,a331381a
9dc1d336,2462819d,23a7a43b,a152d460,2499812d
229101ed,24d0449e,9b7c5a10,21ba6182,24dc3e23
a46ff481,20541b90,9f4caf91,24a028fa,23a1fcc5
a2cbe8a6,a225a4ba,9be3a2c8,a0297a98,a3120533
9bd82425,9eb05d77,9ff67cf1,1f73466e,9fa9c93c
1d51c174,2397c983,1fa597b7,1e7f982f,2398959c
9e59d912,23026ce9,1f5db825,9dee7e2d,2302f65b
a4024fd3,20d8a585,23c9642e,1f1b7d35,a2de2c8d
a0065e5e,1f5fdb0b,9ff6f07c,1fe4f730,9faec882
22cef602,21783037,9d061cd4,9e2e779d,22ed9409
24294a0a,226b9892,a1ce588e,a10053a0,242f8f80
9fb6946e,1cf724e9,1bf600b3,22508a55,224afc46
9f92a2b9,20e9979e,a2a6b448,1c42e837,a29a5f42
9cfab80e,1ec8df67,9ee106d0,9f41818a,9f556aff
9de5a2c5,1dedcedd,1f6b77dc,a2e04cf9,a2de73fe
1b327bfa,a46c8c11,a0cb7400,1fcac37b,a46dbd6b
9dee50a4,9cce5f1f,a1e80572,209efd1b,a1c16814
9dadc20e,2035974c,231a3981,23a16d72,23efea85
22696a50,1fbd6d0e,1d382b90,a31e2646,a2c48aaa
23aa7846,1f5fc3f6,a21455b0,a1fb82fa,2388a542
a1ad67ae,9f034ce9,234fb589,20b2ebb2,233f1ca4
a13b551f,a1badfbd,1b2c63f4,a29b3fb3,a2e160ed
221c13c0,9f271aef,1f62451b,9c90423b,221cee60
a4a86a02,2059946e,22fc289e,a39e87e8,a4bfdca8
9c476df9,1f7b0c59,9b91722e,1f0a88df,1fc0aa4e
203a7e14,2496ad1c,232d414c,1ef48fea,24acc1ce
a1c19080,9c73a079,9e95469c,a4fb4ce0,a4fe5cf0
9fc836b7,21170bd8,a30ea89f,20056f5c,a304b291
228d957f,a05f1d0b,9e53fda3,1be428e5,22863628
20b4d2d3,21a82eac,9c17f7d0,a4c0dc08,a4bd86c6
2083950d,9ff6b99d,1bf1b2cf,227b823b,2282234f
9b588cce,9c9c42ef,1bf8ffd3,23e1d9fc,23e1d818
9de87b2f,9bb04b3b,a29902e5,1ce5a858,a299316a
226154fd,245f7392,9c59c036,1c78ed23,246d8901
a3e9f229,a233800d,9d9dde06,2016e9a5,a3ff3e35
232a3221,a1d2bdc8,9c12d99b,1fbe6213,231154e1
a4a78bfb,1b0c3297,1f6c1cb6,9be54e84,a4a76e9f
9eaa0993,1c6843f9,1b6f889c,a1057d60,a10a84a3
1d911b23,a00e42a5,1c545525,a01d7f18,a0933247
1fc7f51f,a4b6b3d0,a45aa710,22414136,a50ee5a9
1b1a90ef,2266d3d0,a0f0c3ef,2493d174,249a1762
21984345,a41e05d6,9b9e5219,9d7cde88,a41947fe
a2be53b9,234606c6,9de737a9,1fd49d65,22d0d27b
a1f988ef,207580a3,236c568f,1bb75684,2350fce2
a0d36c29,a3290996,9bc17330,1fcab815,a32e110a
a1d3f30d,9f25497e,1f6a04d8,9d0ce17a,a1d213a3
1b0e331f,9b3b4c71,a1622d3d,9ea1cd2c,a1673e78
21e1957c,1b26e547,a4a8ef9f,20a53456,a4a4c400
1fe7e093,1d9320c2,9ca0a8d7,200d8aed,20826975
1d932b02,1eb22a84,a00d05ac,a014ff4b,a0839327
a3d6102e,21f1e86c,23fbaa68,2002c4b9,22d6f929
1c067357,a3f910c0,9f5e9dce,9c870f7d,a3f9811e
a2b50907,a3754bd4,a48c5d5d,9e55dbfa,a4b65e17
9f541c90,9d70669f,1ddd3900,1b179dac,9f46e43c
9f032a25,a2e29bf5,23bd9243,a10a2e20,23805840
1f56c030,22f73315,a2c7dbe8,9ea5d11a,21c17b71
23008ad2,9dc1cfb1,204456a3,24dfa55d,24f015db
9f84ed9b,1d9321df,23350074,244f13f5,247c1634
1edfdfc0,a2ec93da,9ddc67a0,a1e9c4e4,a3132e27
a1e4216d,9cbdee38,20d54c72,1e0a25f5,a1ade980
24e939ba,9cc1106a,1cc96324,20c80a6d,24ea01cd
9cd0bd83,1f1e23c4,9c3c4273,9ce77aff,1f0d70f6
1fc10288,a353f177,9cd9f100,22fb551b,a2a99768
a4aec97f,9c96d953,a19c71ea,a25acc1c,a4b8123e
1bf42731,9fb1648c,a09693a5,1def9a8c,a0bef154
9f3981f4,9f3a1c84,a44102e8,9d4fe503,a441630f
9be188c8,a447f650,24fdf369,a00c85f3,2499b1c6
1f7bbf9a,9fcab3f8,9e51087f,9b5f4945,9f4ec9bf
a0255524,24f55952,1c09cce2,a331bc10,24decf6a
2433945f,9e2f943c,21532e7f,9f7640c5,24369890
1e49e316,2257488d,1e72a0e7,220d3ee3,22b321fa
224c7802,225af8f1,242b1b8d,20b9120b,244704c0
a077773a,2410e9da,a1679c1a,1dce79d3,240c5a66
1ee79157,a2142cc4,a46fe009,9c751951,a47906d8
9d9cc0dc,9d952d06,1de94e98,9de9e34f,9e19414c
9eed1b25,a0e780b8,9e0290d0,9e17a7bb,a0ff242f
1f4d44a6,a1106928,2387e203,9f8678d8,23833ee3
9dc4d028,20e2f405,a3113319,9d90345f,a30a4619
9d4f3a1f,9f5887fd,21da946a,1fb0d122,21de759f
1d5b1ae6,9bc7a88d,23ddea44,23a08729,243f3bbf
9cb2bab0,a43c1b52,20d04ad9,235a4be3,a403e929
1efc6363,a49c8713,9b21004b,9c53cf86,a49c77cb
9e5df7a4,9ffa846e,1efc0acf,1f77f265,9f368ef8
9b3a61f5,1e7ae2ea,9d65a36f,a007081c,9ff63e27
240fb770,225a981c,1d543358,1d2e7438,241d66fc
23b3d77c,1f833684,9c7e0911,9dfa82fc,23b4490e
9d08dbf4,9d914f70,21c9615b,9eb4b4b6,21c5b8cb
9ead0cac,9c560408,2150f09e,9c2eeef6,214b26fc
a07c1cc9,1bc5b96f,a229f68d,1b39816e,a239af46
1cae5b47,a1f47d4d,a018bf8d,23b2f114,23a27a7a
1ba907a8,9d0f4eb2,a23fefd2,9f24130b,a2429eaa
a0551af8,9b4b3d33,9c495873,9ec154f8,a06e41bf
