input_hex,golden_hex,dut_hex,ulp_diff
0000,3f80,3f80,0
3dcd,3f8d,3f8e,1
3e4d,3f9c,3f9d,1
3e9a,3fad,3fad,0
3ecd,3fbf,3fbe,1
3f00,3fd3,3fd3,0
3f1a,3fea,3fea,0
3f33,4001,4001,0
3f4d,400f,400f,0
3f66,401d,401d,0
3f80,402e,402e,0
3f8d,4041,4040,1
3f9a,4055,4055,0
3fa6,406a,406a,0
3fb3,4082,4082,0
3fc0,408f,4090,1
3fcd,409f,409f,0
3fda,40b0,40b0,0
3fe6,40c1,40c1,0
3ff3,40d6,40d5,1
4000,40ec,40ec,0
4006,4102,4102,0
400d,4111,4111,0
4013,411f,411f,0
401a,4131,4132,1
4020,4143,4143,0
4026,4156,4156,0
402d,416f,416f,0
4033,4183,4183,0
403a,4192,4192,0
4040,41a1,41a0,1
4046,41b0,41b1,1
404d,41c5,41c5,0
4053,41d8,41d7,1
405a,41f1,41f1,0
4060,4204,4204,0
4066,4211,4211,0
406d,4222,4222,0
4073,4232,4232,0
407a,4247,4246,1
4080,425a,4259,1
4083,4270,426f,1
4086,4284,4283,1
408a,4295,4294,1
408d,42a4,42a4,0
4090,42b4,42b4,0
4093,42c6,42c5,1
4096,42d9,42d9,0
409a,42f6,42f6,0
409d,4307,4307,0
40a0,4314,4314,0
40a3,4323,4323,0
40a6,4333,4333,0
40aa,434b,434b,0
40ad,435f,435f,0
40b0,4375,4375,0
40b3,4386,4386,0
40b6,4394,4393,1
40ba,43a7,43a6,1
40bd,43b8,43b7,1
40c0,43ca,43c9,1
40c3,43de,43dc,2
40c6,43f3,43f3,0
40ca,440a,4409,1
40cd,4417,4417,0
40d0,4426,4425,1
40d3,4437,4436,1
40d6,4449,4449,0
40da,4463,4463,0
40dd,447a,4478,2
40e0,4489,4488,1
40e3,4497,4497,0
40e6,44a5,44a5,0
40ea,44bb,44bb,0
40ed,44ce,44cc,2
40f0,44e2,44e3,1
40f3,44f8,44f8,0
40f6,4508,4508,0
40fa,451a,451a,0
40fd,452a,4529,1
4100,453a,453a,0
4102,4553,4553,0
4103,4561,4561,0
4105,457f,457e,1
4106,4588,4587,1
4108,459a,4599,1
410a,45ae,45ae,0
410b,45b9,45b9,0
410d,45d2,45d1,1
410e,45df,45e0,1
4110,45fd,45fd,0
4112,460f,4610,1
4113,4619,4618,1
4115,462d,462d,0
4116,4638,4637,1
4118,4651,464f,2
411a,466d,466c,1
411b,467c,467c,0
411d,468f,468f,0
411e,4698,4697,1
4120,46ac,46ab,1
4122,46c3,46c2,1
4123,46d0,46cf,1
4125,46eb,46eb,0
4126,46fa,46f8,2
4128,470e,470e,0
412a,4721,4720,1
412b,472b,472b,0
412d,4742,4741,1
412e,474e,474e,0
4130,476a,476a,0
4132,4785,4784,1
4133,478d,478d,0
4135,47a0,479f,1
4136,47aa,47a9,1
4138,47c1,47c1,0
413a,47da,47d9,1
413b,47e9,47e8,1
413d,4804,4803,1
413e,480c,480b,1
4140,481f,481f,0
4142,4834,4833,1
4143,4840,483e,2
4145,4859,4859,0
4146,4867,4866,1
4148,4883,4883,0
414a,4894,4893,1
414b,489e,489d,1
414d,48b3,48b3,0
414e,48bf,48be,1
4150,48d8,48d7,1
4152,48f5,48f5,0
4153,4902,4901,1
4155,4914,4913,1
4156,491d,491d,0
4158,4932,4932,0
415a,494a,4949,1
415b,4957,4957,0
415d,4973,4973,0
415e,4982,4981,1
4160,4993,4992,1
4162,49a6,49a5,1
4163,49b1,49b2,1
4165,49c9,49c8,1
4166,49d6,49d5,1
4168,49f2,49f3,1
416a,4a09,4a08,1
416b,4a12,4a12,0
416d,4a25,4a24,1
416e,4a30,4a2f,1
4170,4a48,4a48,0
4172,4a62,4a61,1
4173,4a71,4a6f,2
4175,4a88,4a88,0
4176,4a91,4a90,1
4178,4aa4,4aa4,0
417a,4aba,4ab9,1
417b,4ac6,4ac5,1
417d,4ae1,4ae1,0
417e,4aef,4aed,2
4180,4b08,4b07,1
4181,4b1a,4b1a,0
4182,4b2e,4b2e,0
4183,4b45,4b45,0
4184,4b60,4b5f,1
4185,4b7d,4b7d,0
4186,4b90,4b8f,1
4187,4ba3,4ba3,0
4188,4bb8,4bb7,1
4189,4bd1,4bcf,2
418a,4bed,4beb,2
418b,4c06,4c06,0
418c,4c18,4c17,1
418d,4c2c,4c2b,1
418e,4c43,4c43,0
418f,4c5d,4c5b,2
4190,4c7a,4c7a,0
4191,4c8e,4c8d,1
4192,4ca1,4ca0,1
4193,4cb6,4cb5,1
4194,4cce,4cce,0
4195,4cea,4ce8,2
4196,4d05,4d04,1
4197,4d16,4d14,2
4198,4d2a,4d29,1
4199,4d41,4d3e,3
419a,4d5b,4d59,2
419b,4d78,4d78,0
419c,4d8c,4d8b,1
419d,4d9f,4d9f,0
419e,4db4,4db3,1
419f,4dcc,4dcc,0
41a0,4de7,4de6,1
41a1,4e03,4e03,0
41a2,4e15,4e13,2
41a3,4e28,4e28,0
41a4,4e3f,4e3d,2
41a5,4e58,4e57,1
41a6,4e75,4e73,2
41a7,4e8b,4e8a,1
41a8,4e9d,4e9d,0
41a9,4eb2,4eb2,0
41aa,4eca,4ec9,1
41ab,4ee5,4ee3,2
41ac,4f02,4f01,1
41ad,4f13,4f12,1
41ae,4f26,4f25,1
41af,4f3d,4f3b,2
41b0,4f56,4f55,1
41b1,4f72,4f6f,3
41b2,4f89,4f88,1
41b3,4f9b,4f9b,0
41b4,4fb0,4fb2,2
41b5,4fc8,4fc5,3
41b6,4fe2,4fe1,1
41b7,5000,5000,0
41b8,5011,5012,1
41b9,5025,5023,2
41ba,503a,5039,1
41bb,5053,5053,0
41bc,506f,506f,0
41bd,5088,5086,2
41be,509a,5098,2
41bf,50ae,50ae,0
41c0,50c5,50c5,0
41c1,50e0,50e1,1
41c2,50fd,50fa,3
41c3,5110,510f,1
41c4,5123,5123,0
41c5,5138,5139,1
41c6,5151,514e,3
41c7,516d,516b,2
41c8,5186,5186,0
41c9,5198,5198,0
41ca,51ac,51a9,3
41cb,51c3,51c1,2
41cc,51dd,51db,2
41cd,51fb,51fa,1
41ce,520e,520f,1
41cf,5221,521f,2
41d0,5236,5235,1
41d1,524f,524e,1
41d2,526a,526b,1
41d3,5285,5283,2
41d4,5296,5294,2
41d5,52aa,52a9,1
41d6,52c1,52c1,0
41d7,52db,52d7,4
41d8,52f8,52f5,3
41d9,530c,530b,1
41da,531f,531f,0
41db,5334,5335,1
41dc,534c,5349,3
41dd,5367,5366,1
41de,5383,5383,0
41df,5395,5394,1
41e0,53a8,53a5,3
41e1,53bf,53bd,2
41e2,53d8,53d7,1
41e3,53f5,53f5,0
41e4,540b,5408,3
41e5,541d,541b,2
41e6,5432,5432,0
41e7,544a,5449,1
41e8,5465,5466,1
41e9,5482,5480,2
41ea,5493,5492,1
41eb,54a6,54a5,1
41ec,54bd,54bd,0
41ed,54d6,54d3,3
41ee,54f2,54ef,3
41ef,5509,5508,1
41f0,551c,551b,1
41f1,5530,552e,2
41f2,5548,5545,3
41f3,5562,5561,1
41f4,5580,5580,0
41f5,5591,5592,1
41f6,55a5,55a3,2
41f7,55bb,55b9,2
41f8,55d3,55d3,0
41f9,55f0,55ef,1
41fa,5608,5606,2
41fb,561a,5618,2
41fc,562e,562e,0
41fd,5645,5645,0
41fe,5660,565b,5
41ff,567e,567a,4
4200,5690,568f,1
4201,56b8,56b9,1
4202,56ed,56eb,2
4203,5718,5718,0
4204,5743,5741,2
4205,577b,577a,1
4206,57a1,579f,2
4207,57cf,57ce,1
4208,5805,5803,2
4209,582a,5829,1
420a,585b,5857,4
420b,588c,588b,1
420c,58b4,58b2,2
420d,58e8,58e6,2
420e,5915,5914,1
420f,593f,593d,2
4210,5975,5975,0
4211,599d,599b,2
4212,59ca,59c9,1
4213,5a02,5a00,2
4214,5a27,5a25,2
4215,5a56,5a53,3
4216,5a89,5a88,1
4217,5ab0,5aae,2
4218,5ae2,5ae1,1
4219,5b11,5b0f,2
421a,5b3b,5b39,2
421b,5b70,5b6f,1
421c,5b9a,5b98,2
421d,5bc6,5bc5,1
421e,5bfe,5bfa,4
421f,5c23,5c23,0
4220,5c51,5c4e,3
4221,5c86,5c86,0
4222,5cac,5ca9,3
4223,5cdd,5cdb,2
4224,5d0e,5d0b,3
4225,5d36,5d35,1
4226,5d6a,5d66,4
4227,5d96,5d94,2
4228,5dc1,5dc1,0
4229,5df8,5df5,3
422a,5e1f,5e1f,0
422b,5e4c,5e49,3
422c,5e83,5e83,0
422d,5ea8,5ea5,3
422e,5ed8,5ed7,1
422f,5f0b,5f08,3
4230,5f32,5f32,0
4231,5f65,5f61,4
4232,5f93,5f92,1
4233,5fbd,5fbd,0
4234,5ff2,5ff5,3
4235,601c,6018,4
4236,6048,6045,3
4237,6080,6080,0
4238,60a5,60a5,0
4239,60d4,60ce,6
423a,6108,6106,2
423b,612e,612e,0
423c,6160,6161,1
423d,6190,618b,5
423e,61b9,61b5,4
423f,61ed,61eb,2
4240,6218,6218,0
4241,6243,6245,2
4242,627b,6275,6
4243,62a1,629f,2
4244,62cf,62ce,1
4245,6305,6306,1
4246,632a,6325,5
4247,635b,6357,4
4248,638d,638b,2
4249,63b4,63b5,1
424a,63e8,63e1,7
424b,6415,6412,3
424c,643f,643d,2
