input_hex,golden_hex
0000,3F80
8000,3F80
8001,3F80
8002,3F80
8003,3F80
8004,3F80
8005,3F80
8006,3F80
8007,3F80
8008,3F80
8009,3F80
800A,3F80
800B,3F80
800C,3F80
800D,3F80
800E,3F80
800F,3F80
8010,3F80
8011,3F80
8012,3F80
8013,3F80
8014,3F80
8015,3F80
8016,3F80
8017,3F80
8018,3F80
8019,3F80
801A,3F80
801B,3F80
801C,3F80
801D,3F80
801E,3F80
801F,3F80
8020,3F80
8021,3F80
8022,3F80
8023,3F80
8024,3F80
8025,3F80
8026,3F80
8027,3F80
8028,3F80
8029,3F80
802A,3F80
802B,3F80
802C,3F80
802D,3F80
802E,3F80
802F,3F80
8030,3F80
8031,3F80
8032,3F80
8033,3F80
8034,3F80
8035,3F80
8036,3F80
8037,3F80
8038,3F80
8039,3F80
803A,3F80
803B,3F80
803C,3F80
803D,3F80
803E,3F80
803F,3F80
8040,3F80
8041,3F80
8042,3F80
8043,3F80
8044,3F80
8045,3F80
8046,3F80
8047,3F80
8048,3F80
8049,3F80
804A,3F80
804B,3F80
804C,3F80
804D,3F80
804E,3F80
804F,3F80
8050,3F80
8051,3F80
8052,3F80
8053,3F80
8054,3F80
8055,3F80
8056,3F80
8057,3F80
8058,3F80
8059,3F80
805A,3F80
805B,3F80
805C,3F80
805D,3F80
805E,3F80
805F,3F80
8060,3F80
8061,3F80
8062,3F80
8063,3F80
8064,3F80
8065,3F80
8066,3F80
8067,3F80
8068,3F80
8069,3F80
806A,3F80
806B,3F80
806C,3F80
806D,3F80
806E,3F80
806F,3F80
8070,3F80
8071,3F80
8072,3F80
8073,3F80
8074,3F80
8075,3F80
8076,3F80
8077,3F80
8078,3F80
8079,3F80
807A,3F80
807B,3F80
807C,3F80
807D,3F80
807E,3F80
807F,3F80
3F80,402D
3F81,402F
3F82,4030
3F83,4032
3F84,4033
3F85,4034
3F86,4036
3F87,4037
3F88,4039
3F89,403A
3F8A,403C
3F8B,403D
3F8C,403F
3F8D,4040
3F8E,4042
3F8F,4043
3F90,4045
3F91,4046
3F92,4048
3F93,4049
3F94,404B
3F95,404C
3F96,404E
3F97,4050
3F98,4051
3F99,4053
3F9A,4055
3F9B,4056
3F9C,4058
3F9D,405A
3F9E,405B
3F9F,405D
3FA0,405F
3FA1,4061
3FA2,4062
3FA3,4064
3FA4,4066
3FA5,4068
3FA6,406A
3FA7,406B
3FA8,406D
3FA9,406F
3FAA,4071
3FAB,4073
3FAC,4075
3FAD,4077
3FAE,4079
3FAF,407B
3FB0,407D
3FB1,407F
3FB2,4080
3FB3,4081
3FB4,4082
3FB5,4083
3FB6,4084
3FB7,4085
3FB8,4086
3FB9,4087
3FBA,4088
3FBB,4089
3FBC,408B
3FBD,408C
3FBE,408D
3FBF,408E
3FC0,408F
3FC1,4090
3FC2,4091
3FC3,4092
3FC4,4093
3FC5,4095
3FC6,4096
3FC7,4097
3FC8,4098
3FC9,4099
3FCA,409B
3FCB,409C
3FCC,409D
3FCD,409E
3FCE,409F
3FCF,40A1
3FD0,40A2
3FD1,40A3
3FD2,40A5
3FD3,40A6
3FD4,40A7
3FD5,40A8
3FD6,40AA
3FD7,40AB
3FD8,40AC
3FD9,40AE
3FDA,40AF
3FDB,40B1
3FDC,40B2
3FDD,40B3
3FDE,40B5
3FDF,40B6
3FE0,40B8
3FE1,40B9
3FE2,40BB
3FE3,40BC
3FE4,40BD
3FE5,40BF
3FE6,40C0
3FE7,40C2
3FE8,40C4
3FE9,40C5
3FEA,40C7
3FEB,40C8
3FEC,40CA
3FED,40CB
3FEE,40CD
3FEF,40CF
3FF0,40D0
3FF1,40D2
3FF2,40D3
3FF3,40D5
3FF4,40D7
3FF5,40D8
3FF6,40DA
3FF7,40DC
3FF8,40DE
3FF9,40DF
3FFA,40E1
3FFB,40E3
3FFC,40E5
3FFD,40E6
3FFE,40E8
3FFF,40EA
4000,40EC
4001,40F0
4002,40F3
4003,40F7
4004,40FB
4005,40FF
4006,4101
4007,4103
4008,4105
4009,4108
400A,410A
400B,410C
400C,410E
400D,4110
400E,4113
400F,4115
4010,4117
4011,411A
4012,411C
4013,411F
4014,4121
4015,4124
4016,4126
4017,4129
4018,412C
4019,412E
401A,4131
401B,4134
401C,4137
401D,4139
401E,413C
401F,413F
4020,4142
4021,4145
4022,4149
4023,414C
4024,414F
4025,4152
4026,4156
4027,4159
4028,415C
4029,4160
402A,4163
402B,4167
402C,416B
402D,416E
402E,4172
402F,4176
4030,417A
4031,417E
4032,4181
4033,4183
4034,4185
4035,4187
4036,4189
4037,418B
4038,418D
4039,4190
403A,4192
403B,4194
403C,4196
403D,4199
403E,419B
403F,419E
4040,41A0
4041,41A3
4042,41A5
4043,41A8
4044,41AB
4045,41AD
4046,41B0
4047,41B3
4048,41B6
4049,41B8
404A,41BB
404B,41BE
404C,41C1
404D,41C4
404E,41C7
404F,41CB
4050,41CE
4051,41D1
4052,41D4
4053,41D8
4054,41DB
4055,41DF
4056,41E2
4057,41E6
4058,41E9
4059,41ED
405A,41F1
405B,41F5
405C,41F8
405D,41FC
405E,4200
405F,4202
4060,4204
4061,4206
4062,4208
4063,420A
4064,420D
4065,420F
4066,4211
4067,4213
4068,4216
4069,4218
406A,421A
406B,421D
406C,421F
406D,4222
406E,4224
406F,4227
4070,422A
4071,422C
4072,422F
4073,4232
4074,4235
4075,4237
4076,423A
4077,423D
4078,4240
4079,4243
407A,4246
407B,4249
407C,424D
407D,4250
407E,4253
407F,4257
4080,425A
4081,4261
4082,4268
4083,426F
4084,4277
4085,427F
4086,4283
4087,4287
4088,428C
4089,4290
408A,4295
408B,4299
408C,429E
408D,42A3
408E,42A9
408F,42AE
4090,42B4
4091,42B9
4092,42BF
4093,42C5
4094,42CC
4095,42D2
4096,42D9
4097,42E0
4098,42E7
4099,42EE
409A,42F6
409B,42FD
409C,4302
409D,4307
409E,430B
409F,430F
40A0,4314
40A1,4319
40A2,431D
40A3,4322
40A4,4328
40A5,432D
40A6,4333
40A7,4338
40A8,433E
40A9,4344
40AA,434A
40AB,4351
40AC,4357
40AD,435E
40AE,4365
40AF,436D
40B0,4374
40B1,437C
40B2,4382
40B3,4386
40B4,438A
40B5,438F
40B6,4393
40B7,4398
40B8,439D
40B9,43A2
40BA,43A7
40BB,43AC
40BC,43B2
40BD,43B7
40BE,43BD
40BF,43C3
40C0,43C9
40C1,43D0
40C2,43D6
40C3,43DD
40C4,43E4
40C5,43EB
40C6,43F3
40C7,43FB
40C8,4401
40C9,4405
40CA,4409
40CB,440E
40CC,4412
40CD,4417
40CE,441C
40CF,4421
40D0,4426
40D1,442B
40D2,4431
40D3,4436
40D4,443C
40D5,4442
40D6,4448
40D7,444E
40D8,4455
40D9,445C
40DA,4463
40DB,446A
40DC,4471
40DD,4479
40DE,4480
40DF,4484
40E0,4489
40E1,448D
40E2,4491
40E3,4496
40E4,449B
40E5,44A0
40E6,44A5
40E7,44AA
40E8,44B0
40E9,44B5
40EA,44BB
40EB,44C1
40EC,44C7
40ED,44CD
40EE,44D4
40EF,44DB
40F0,44E2
40F1,44E9
40F2,44F0
40F3,44F8
40F4,4500
40F5,4504
40F6,4508
40F7,450C
40F8,4511
40F9,4515
40FA,451A
40FB,451F
40FC,4524
40FD,4529
40FE,452F
40FF,4534
4100,453A
4101,4546
4102,4553
4103,4560
4104,456F
4105,457E
4106,4587
4107,4590
4108,4599
4109,45A3
410A,45AE
410B,45B9
410C,45C5
410D,45D1
410E,45DF
410F,45ED
4110,45FD
4111,4606
4112,460F
4113,4618
4114,4622
4115,462D
4116,4638
4117,4644
4118,4650
4119,465E
411A,466C
411B,467B
411C,4686
411D,468E
411E,4697
411F,46A1
4120,46AC
4121,46B7
4122,46C2
4123,46CF
4124,46DC
4125,46EB
4126,46FA
4127,4705
4128,470D
4129,4717
412A,4720
412B,472B
412C,4736
412D,4741
412E,474E
412F,475B
4130,4769
4131,4778
4132,4784
4133,478D
4134,4796
4135,479F
4136,47AA
4137,47B5
4138,47C0
4139,47CD
413A,47DA
413B,47E8
413C,47F7
413D,4803
413E,480C
413F,4815
4140,481E
4141,4829
4142,4834
4143,483F
4144,484C
4145,4859
4146,4867
4147,4876
4148,4883
4149,488B
414A,4894
414B,489E
414C,48A8
414D,48B3
