input_hex,golden_hex
0000,3F80
0001,3F80
0002,3F80
0003,3F80
0004,3F80
0005,3F80
0006,3F80
0007,3F80
0008,3F80
0009,3F80
000A,3F80
000B,3F80
000C,3F80
000D,3F80
000E,3F80
000F,3F80
0010,3F80
0011,3F80
0012,3F80
0013,3F80
0014,3F80
0015,3F80
0016,3F80
0017,3F80
0018,3F80
0019,3F80
001A,3F80
001B,3F80
001C,3F80
001D,3F80
001E,3F80
001F,3F80
0020,3F80
0021,3F80
0022,3F80
0023,3F80
0024,3F80
0025,3F80
0026,3F80
0027,3F80
0028,3F80
0029,3F80
002A,3F80
002B,3F80
002C,3F80
002D,3F80
002E,3F80
002F,3F80
0030,3F80
0031,3F80
0032,3F80
0033,3F80
0034,3F80
0035,3F80
0036,3F80
0037,3F80
0038,3F80
0039,3F80
003A,3F80
003B,3F80
003C,3F80
003D,3F80
003E,3F80
003F,3F80
0040,3F80
0041,3F80
0042,3F80
0043,3F80
0044,3F80
0045,3F80
0046,3F80
0047,3F80
0048,3F80
0049,3F80
004A,3F80
004B,3F80
004C,3F80
004D,3F80
004E,3F80
004F,3F80
0050,3F80
0051,3F80
0052,3F80
0053,3F80
0054,3F80
0055,3F80
0056,3F80
0057,3F80
0058,3F80
0059,3F80
005A,3F80
005B,3F80
005C,3F80
005D,3F80
005E,3F80
005F,3F80
0060,3F80
0061,3F80
0062,3F80
0063,3F80
0064,3F80
0065,3F80
0066,3F80
0067,3F80
0068,3F80
0069,3F80
006A,3F80
006B,3F80
006C,3F80
006D,3F80
006E,3F80
006F,3F80
0070,3F80
0071,3F80
0072,3F80
0073,3F80
0074,3F80
0075,3F80
0076,3F80
0077,3F80
0078,3F80
0079,3F80
007A,3F80
007B,3F80
007C,3F80
007D,3F80
007E,3F80
007F,3F80
0080,3F80
0081,3F80
0082,3F80
0083,3F80
0084,3F80
0085,3F80
0086,3F80
0087,3F80
0088,3F80
0089,3F80
008A,3F80
008B,3F80
008C,3F80
008D,3F80
008E,3F80
008F,3F80
0090,3F80
0091,3F80
0092,3F80
0093,3F80
0094,3F80
0095,3F80
0096,3F80
0097,3F80
0098,3F80
0099,3F80
009A,3F80
009B,3F80
009C,3F80
009D,3F80
009E,3F80
009F,3F80
00A0,3F80
00A1,3F80
00A2,3F80
00A3,3F80
00A4,3F80
00A5,3F80
00A6,3F80
00A7,3F80
00A8,3F80
00A9,3F80
00AA,3F80
00AB,3F80
00AC,3F80
00AD,3F80
00AE,3F80
00AF,3F80
00B0,3F80
00B1,3F80
00B2,3F80
00B3,3F80
00B4,3F80
00B5,3F80
00B6,3F80
00B7,3F80
00B8,3F80
00B9,3F80
00BA,3F80
00BB,3F80
00BC,3F80
00BD,3F80
00BE,3F80
00BF,3F80
00C0,3F80
00C1,3F80
00C2,3F80
00C3,3F80
00C4,3F80
00C5,3F80
00C6,3F80
00C7,3F80
00C8,3F80
00C9,3F80
00CA,3F80
00CB,3F80
00CC,3F80
00CD,3F80
00CE,3F80
00CF,3F80
00D0,3F80
00D1,3F80
00D2,3F80
00D3,3F80
00D4,3F80
00D5,3F80
00D6,3F80
00D7,3F80
00D8,3F80
00D9,3F80
00DA,3F80
00DB,3F80
00DC,3F80
00DD,3F80
00DE,3F80
00DF,3F80
00E0,3F80
00E1,3F80
00E2,3F80
00E3,3F80
00E4,3F80
00E5,3F80
00E6,3F80
00E7,3F80
00E8,3F80
00E9,3F80
00EA,3F80
00EB,3F80
00EC,3F80
00ED,3F80
00EE,3F80
00EF,3F80
00F0,3F80
00F1,3F80
00F2,3F80
00F3,3F80
00F4,3F80
00F5,3F80
00F6,3F80
00F7,3F80
00F8,3F80
00F9,3F80
00FA,3F80
00FB,3F80
00FC,3F80
00FD,3F80
00FE,3F80
00FF,3F80
0100,3F80
0101,3F80
0102,3F80
0103,3F80
0104,3F80
0105,3F80
0106,3F80
0107,3F80
0108,3F80
0109,3F80
010A,3F80
010B,3F80
010C,3F80
010D,3F80
010E,3F80
010F,3F80
0110,3F80
0111,3F80
0112,3F80
0113,3F80
0114,3F80
0115,3F80
0116,3F80
0117,3F80
0118,3F80
0119,3F80
011A,3F80
011B,3F80
011C,3F80
011D,3F80
011E,3F80
011F,3F80
0120,3F80
0121,3F80
0122,3F80
0123,3F80
0124,3F80
0125,3F80
0126,3F80
0127,3F80
0128,3F80
0129,3F80
012A,3F80
012B,3F80
012C,3F80
012D,3F80
012E,3F80
012F,3F80
0130,3F80
0131,3F80
0132,3F80
0133,3F80
0134,3F80
0135,3F80
0136,3F80
0137,3F80
0138,3F80
0139,3F80
013A,3F80
013B,3F80
013C,3F80
013D,3F80
013E,3F80
013F,3F80
0140,3F80
0141,3F80
0142,3F80
0143,3F80
0144,3F80
0145,3F80
0146,3F80
0147,3F80
0148,3F80
0149,3F80
014A,3F80
014B,3F80
014C,3F80
014D,3F80
014E,3F80
014F,3F80
0150,3F80
0151,3F80
0152,3F80
0153,3F80
0154,3F80
0155,3F80
0156,3F80
0157,3F80
0158,3F80
0159,3F80
015A,3F80
015B,3F80
015C,3F80
015D,3F80
015E,3F80
015F,3F80
0160,3F80
0161,3F80
0162,3F80
0163,3F80
0164,3F80
0165,3F80
0166,3F80
0167,3F80
0168,3F80
0169,3F80
016A,3F80
016B,3F80
016C,3F80
016D,3F80
016E,3F80
016F,3F80
0170,3F80
0171,3F80
0172,3F80
0173,3F80
0174,3F80
0175,3F80
0176,3F80
0177,3F80
0178,3F80
0179,3F80
017A,3F80
017B,3F80
017C,3F80
017D,3F80
017E,3F80
017F,3F80
0180,3F80
0181,3F80
0182,3F80
0183,3F80
0184,3F80
0185,3F80
