input_bf16_hex,golden_x_times_invln2_bf16,dut_x_times_invln2_bf16,ulp_diff
0000,0000,0000,0
3dcd,3e14,0000,15892
3e4d,3e94,0000,16020
3e9a,3ede,0000,16094
3ecd,3f14,0000,16148
3f00,3f39,0000,16185
3f1a,3f5e,0000,16222
3f33,3f81,0000,16257
3f4d,3f94,0000,16276
3f66,3fa6,0000,16294
3f80,3fb9,0000,16313
3f8d,3fcb,0000,16331
3f9a,3fde,0000,16350
3fa6,3fef,0000,16367
3fb3,4001,0000,16385
3fc0,400a,0000,16394
3fcd,4014,0000,16404
3fda,401d,0000,16413
3fe6,4026,0000,16422
3ff3,402f,0000,16431
4000,4039,0000,16441
4006,4041,0000,16449
400d,404b,0000,16459
4013,4054,0000,16468
401a,405e,0000,16478
4020,4067,0000,16487
4026,406f,0000,16495
402d,407a,0000,16506
4033,4081,0000,16513
403a,4086,0000,16518
4040,408a,0000,16522
4046,408f,0000,16527
404d,4094,0000,16532
4053,4098,0000,16536
405a,409d,0000,16541
4060,40a2,0000,16546
4066,40a6,0000,16550
406d,40ab,0000,16555
4073,40af,0000,16559
407a,40b4,0000,16564
4080,40b9,0000,16569
4083,40bd,0000,16573
4086,40c1,0000,16577
408a,40c7,0000,16583
408d,40cb,0000,16587
4090,40d0,0000,16592
4093,40d4,0000,16596
4096,40d8,0000,16600
409a,40de,0000,16606
409d,40e3,0000,16611
40a0,40e7,0000,16615
40a3,40eb,0000,16619
40a6,40ef,0000,16623
40aa,40f5,0000,16629
40ad,40fa,0000,16634
40b0,40fe,0000,16638
40b3,4101,0000,16641
40b6,4103,0000,16643
40ba,4106,0000,16646
40bd,4108,0000,16648
40c0,410a,0000,16650
40c3,410d,0000,16653
40c6,410f,0000,16655
40ca,4112,0000,16658
40cd,4114,0000,16660
40d0,4116,0000,16662
40d3,4118,0000,16664
40d6,411a,0000,16666
40da,411d,0000,16669
40dd,411f,0000,16671
40e0,4122,0000,16674
40e3,4124,0000,16676
40e6,4126,0000,16678
40ea,4129,0000,16681
40ed,412b,0000,16683
40f0,412d,0000,16685
40f3,412f,0000,16687
40f6,4131,0000,16689
40fa,4134,0000,16692
40fd,4137,0000,16695
4100,4139,0000,16697
4102,413c,0000,16700
4103,413d,0000,16701
4105,4140,0000,16704
4106,4141,0000,16705
4108,4144,0000,16708
410a,4147,0000,16711
410b,4149,0000,16713
410d,414b,0000,16715
410e,414d,0000,16717
4110,4150,0000,16720
4112,4153,0000,16723
4113,4154,0000,16724
4115,4157,0000,16727
4116,4158,0000,16728
4118,415b,0000,16731
411a,415e,0000,16734
411b,4160,0000,16736
411d,4163,0000,16739
411e,4164,0000,16740
4120,4167,0000,16743
4122,416a,0000,16746
4123,416b,0000,16747
4125,416e,0000,16750
4126,416f,0000,16751
4128,4172,0000,16754
412a,4175,0000,16757
412b,4177,0000,16759
412d,417a,0000,16762
412e,417b,0000,16763
4130,417e,0000,16766
4132,4180,0000,16768
4133,4181,0000,16769
4135,4183,0000,16771
4136,4183,0000,16771
4138,4185,0000,16773
413a,4186,0000,16774
413b,4187,0000,16775
413d,4188,0000,16776
413e,4189,0000,16777
4140,418a,0000,16778
4142,418c,0000,16780
4143,418d,0000,16781
4145,418e,0000,16782
4146,418f,0000,16783
4148,4190,0000,16784
414a,4192,0000,16786
414b,4192,0000,16786
414d,4194,0000,16788
414e,4195,0000,16789
4150,4196,0000,16790
4152,4197,0000,16791
4153,4198,0000,16792
4155,419a,0000,16794
4156,419a,0000,16794
4158,419c,0000,16796
415a,419d,0000,16797
415b,419e,0000,16798
415d,419f,0000,16799
415e,41a0,0000,16800
4160,41a2,0000,16802
4162,41a3,0000,16803
4163,41a4,0000,16804
4165,41a5,0000,16805
4166,41a6,0000,16806
4168,41a7,0000,16807
416a,41a9,0000,16809
416b,41aa,0000,16810
416d,41ab,0000,16811
416e,41ac,0000,16812
4170,41ad,0000,16813
4172,41af,0000,16815
4173,41af,0000,16815
4175,41b1,0000,16817
4176,41b1,0000,16817
4178,41b3,0000,16819
417a,41b4,0000,16820
417b,41b5,0000,16821
417d,41b7,0000,16823
417e,41b7,0000,16823
4180,41b9,0000,16825
4181,41ba,0000,16826
4182,41bc,0000,16828
4182,41bc,0000,16828
4183,41bd,0000,16829
4184,41be,0000,16830
4185,41c0,0000,16832
4186,41c1,0000,16833
4186,41c1,0000,16833
4187,41c3,0000,16835
4188,41c4,0000,16836
4189,41c6,0000,16838
418a,41c7,0000,16839
418a,41c7,0000,16839
418b,41c9,0000,16841
418c,41ca,0000,16842
418d,41cb,0000,16843
418e,41cd,0000,16845
418e,41cd,0000,16845
418f,41ce,0000,16846
4190,41d0,0000,16848
4191,41d1,0000,16849
4192,41d3,0000,16851
4192,41d3,0000,16851
4193,41d4,0000,16852
4194,41d6,0000,16854
4195,41d7,0000,16855
4196,41d8,0000,16856
4196,41d8,0000,16856
4197,41da,0000,16858
4198,41db,0000,16859
4199,41dd,0000,16861
419a,41de,0000,16862
419a,41de,0000,16862
419b,41e0,0000,16864
419c,41e1,0000,16865
419d,41e3,0000,16867
419e,41e4,0000,16868
419e,41e4,0000,16868
419f,41e5,0000,16869
41a0,41e7,0000,16871
41a1,41e8,0000,16872
41a2,41ea,0000,16874
41a2,41ea,0000,16874
41a3,41eb,0000,16875
41a4,41ed,0000,16877
41a5,41ee,0000,16878
41a6,41ef,0000,16879
41a6,41ef,0000,16879
41a7,41f1,0000,16881
41a8,41f2,0000,16882
41a9,41f4,0000,16884
41aa,41f5,0000,16885
41aa,41f5,0000,16885
41ab,41f7,0000,16887
41ac,41f8,0000,16888
41ad,41fa,0000,16890
41ae,41fb,0000,16891
41ae,41fb,0000,16891
41af,41fc,0000,16892
41b0,41fe,0000,16894
41b1,41ff,0000,16895
41b2,4200,0000,16896
41b2,4200,0000,16896
41b3,4201,0000,16897
41b4,4202,0000,16898
41b5,4203,0000,16899
41b6,4203,0000,16899
41b6,4203,0000,16899
41b7,4204,0000,16900
41b8,4205,0000,16901
41b9,4205,0000,16901
41ba,4206,0000,16902
41ba,4206,0000,16902
41bb,4207,0000,16903
41bc,4208,0000,16904
41bd,4208,0000,16904
41be,4209,0000,16905
41be,4209,0000,16905
41bf,420a,0000,16906
41c0,420a,0000,16906
41c1,420b,0000,16907
41c2,420c,0000,16908
41c2,420c,0000,16908
41c3,420d,0000,16909
41c4,420d,0000,16909
41c5,420e,0000,16910
41c6,420f,0000,16911
41c6,420f,0000,16911
41c7,4210,0000,16912
41c8,4210,0000,16912
41c9,4211,0000,16913
41ca,4212,0000,16914
41ca,4212,0000,16914
41cb,4212,0000,16914
41cc,4213,0000,16915
41cd,4214,0000,16916
41ce,4215,0000,16917
41ce,4215,0000,16917
41cf,4215,0000,16917
41d0,4216,0000,16918
41d1,4217,0000,16919
41d2,4217,0000,16919
41d2,4217,0000,16919
41d3,4218,0000,16920
41d4,4219,0000,16921
41d5,421a,0000,16922
41d6,421a,0000,16922
41d6,421a,0000,16922
41d7,421b,0000,16923
41d8,421c,0000,16924
41d9,421d,0000,16925
41da,421d,0000,16925
41da,421d,0000,16925
41db,421e,0000,16926
41dc,421f,0000,16927
41dd,421f,0000,16927
41de,4220,0000,16928
41de,4220,0000,16928
41df,4221,0000,16929
41e0,4222,0000,16930
41e1,4222,0000,16930
41e2,4223,0000,16931
41e2,4223,0000,16931
41e3,4224,0000,16932
41e4,4224,0000,16932
41e5,4225,0000,16933
41e6,4226,0000,16934
41e6,4226,0000,16934
41e7,4227,0000,16935
41e8,4227,0000,16935
41e9,4228,0000,16936
41ea,4229,0000,16937
41ea,4229,0000,16937
41eb,422a,0000,16938
41ec,422a,0000,16938
41ed,422b,0000,16939
41ee,422c,0000,16940
41ee,422c,0000,16940
41ef,422c,0000,16940
41f0,422d,0000,16941
41f1,422e,0000,16942
41f2,422f,0000,16943
41f2,422f,0000,16943
41f3,422f,0000,16943
41f4,4230,0000,16944
41f5,4231,0000,16945
41f6,4231,0000,16945
41f6,4231,0000,16945
41f7,4232,0000,16946
41f8,4233,0000,16947
41f9,4234,0000,16948
41fa,4234,0000,16948
41fa,4234,0000,16948
41fb,4235,0000,16949
41fc,4236,0000,16950
41fd,4237,0000,16951
41fe,4237,0000,16951
41fe,4237,0000,16951
41ff,4238,0000,16952
4200,4239,0000,16953
4200,4239,0000,16953
4201,423a,0000,16954
4201,423a,0000,16954
4202,423c,0000,16956
4202,423c,0000,16956
4202,423c,0000,16956
4203,423d,0000,16957
4203,423d,0000,16957
4204,423e,0000,16958
4204,423e,0000,16958
4204,423e,0000,16958
4205,4240,0000,16960
4205,4240,0000,16960
4206,4241,0000,16961
4206,4241,0000,16961
4206,4241,0000,16961
4207,4243,0000,16963
4207,4243,0000,16963
4208,4244,0000,16964
4208,4244,0000,16964
4208,4244,0000,16964
4209,4246,0000,16966
4209,4246,0000,16966
420a,4247,0000,16967
420a,4247,0000,16967
420a,4247,0000,16967
420b,4249,0000,16969
420b,4249,0000,16969
420c,424a,0000,16970
420c,424a,0000,16970
420c,424a,0000,16970
420d,424b,0000,16971
420d,424b,0000,16971
420e,424d,0000,16973
420e,424d,0000,16973
420e,424d,0000,16973
420f,424e,0000,16974
420f,424e,0000,16974
4210,4250,0000,16976
4210,4250,0000,16976
4210,4250,0000,16976
4211,4251,0000,16977
4211,4251,0000,16977
4212,4253,0000,16979
4212,4253,0000,16979
4212,4253,0000,16979
4213,4254,0000,16980
4213,4254,0000,16980
4214,4256,0000,16982
4214,4256,0000,16982
4214,4256,0000,16982
4215,4257,0000,16983
4215,4257,0000,16983
4216,4258,0000,16984
4216,4258,0000,16984
4216,4258,0000,16984
4217,425a,0000,16986
4217,425a,0000,16986
4218,425b,0000,16987
4218,425b,0000,16987
4218,425b,0000,16987
4219,425d,0000,16989
4219,425d,0000,16989
421a,425e,0000,16990
421a,425e,0000,16990
421a,425e,0000,16990
421b,4260,0000,16992
421b,4260,0000,16992
421c,4261,0000,16993
421c,4261,0000,16993
421c,4261,0000,16993
421d,4263,0000,16995
421d,4263,0000,16995
421e,4264,0000,16996
421e,4264,0000,16996
421e,4264,0000,16996
421f,4265,0000,16997
421f,4265,0000,16997
4220,4267,0000,16999
4220,4267,0000,16999
4220,4267,0000,16999
4221,4268,0000,17000
4221,4268,0000,17000
4222,426a,0000,17002
4222,426a,0000,17002
4222,426a,0000,17002
4223,426b,0000,17003
4223,426b,0000,17003
4224,426d,0000,17005
4224,426d,0000,17005
4224,426d,0000,17005
4225,426e,0000,17006
4225,426e,0000,17006
4226,426f,0000,17007
4226,426f,0000,17007
4226,426f,0000,17007
4227,4271,0000,17009
4227,4271,0000,17009
4228,4272,0000,17010
4228,4272,0000,17010
4228,4272,0000,17010
4229,4274,0000,17012
4229,4274,0000,17012
422a,4275,0000,17013
422a,4275,0000,17013
422a,4275,0000,17013
422b,4277,0000,17015
422b,4277,0000,17015
422c,4278,0000,17016
422c,4278,0000,17016
422c,4278,0000,17016
422d,427a,0000,17018
422d,427a,0000,17018
422e,427b,0000,17019
422e,427b,0000,17019
422e,427b,0000,17019
422f,427c,0000,17020
422f,427c,0000,17020
4230,427e,0000,17022
4230,427e,0000,17022
4230,427e,0000,17022
4231,427f,0000,17023
4231,427f,0000,17023
4232,4280,0000,17024
4232,4280,0000,17024
4232,4280,0000,17024
4233,4281,0000,17025
4233,4281,0000,17025
4234,4282,0000,17026
4234,4282,0000,17026
4234,4282,0000,17026
4235,4283,0000,17027
4235,4283,0000,17027
4236,4283,0000,17027
4236,4283,0000,17027
4236,4283,0000,17027
4237,4284,0000,17028
4237,4284,0000,17028
4238,4285,0000,17029
4238,4285,0000,17029
4238,4285,0000,17029
4239,4285,0000,17029
4239,4285,0000,17029
423a,4286,0000,17030
423a,4286,0000,17030
423a,4286,0000,17030
423b,4287,0000,17031
423b,4287,0000,17031
423c,4288,0000,17032
423c,4288,0000,17032
423c,4288,0000,17032
423d,4288,0000,17032
423d,4288,0000,17032
423e,4289,0000,17033
423e,4289,0000,17033
423e,4289,0000,17033
423f,428a,0000,17034
423f,428a,0000,17034
4240,428a,0000,17034
4240,428a,0000,17034
4240,428a,0000,17034
4241,428b,0000,17035
4241,428b,0000,17035
4242,428c,0000,17036
4242,428c,0000,17036
4242,428c,0000,17036
4243,428d,0000,17037
4243,428d,0000,17037
4244,428d,0000,17037
4244,428d,0000,17037
4244,428d,0000,17037
4245,428e,0000,17038
4245,428e,0000,17038
4246,428f,0000,17039
4246,428f,0000,17039
4246,428f,0000,17039
4247,4290,0000,17040
4247,4290,0000,17040
4248,4290,0000,17040
4248,4290,0000,17040
4248,4290,0000,17040
4249,4291,0000,17041
4249,4291,0000,17041
424a,4292,0000,17042
424a,4292,0000,17042
424a,4292,0000,17042
424b,4292,0000,17042
424b,4292,0000,17042
424c,4293,0000,17043
424c,4293,0000,17043
424c,4293,0000,17043
424d,4294,0000,17044
424d,4294,0000,17044
424e,4295,0000,17045
424e,4295,0000,17045
424e,4295,0000,17045
424f,4295,0000,17045
424f,4295,0000,17045
4250,4296,0000,17046
4250,4296,0000,17046
4250,4296,0000,17046
4251,4297,0000,17047
4251,4297,0000,17047
4252,4297,0000,17047
4252,4297,0000,17047
4252,4297,0000,17047
4253,4298,0000,17048
4253,4298,0000,17048
4254,4299,0000,17049
4254,4299,0000,17049
4254,4299,0000,17049
4255,429a,0000,17050
4255,429a,0000,17050
4256,429a,0000,17050
4256,429a,0000,17050
4256,429a,0000,17050
4257,429b,0000,17051
4257,429b,0000,17051
4258,429c,0000,17052
4258,429c,0000,17052
4258,429c,0000,17052
4259,429d,0000,17053
4259,429d,0000,17053
425a,429d,0000,17053
425a,429d,0000,17053
425a,429d,0000,17053
425b,429e,0000,17054
425b,429e,0000,17054
425c,429f,0000,17055
425c,429f,0000,17055
425c,429f,0000,17055
425d,429f,0000,17055
425d,429f,0000,17055
425e,42a0,0000,17056
425e,42a0,0000,17056
425e,42a0,0000,17056
425f,42a1,0000,17057
425f,42a1,0000,17057
4260,42a2,0000,17058
4260,42a2,0000,17058
4260,42a2,0000,17058
4261,42a2,0000,17058
4261,42a2,0000,17058
4262,42a3,0000,17059
4262,42a3,0000,17059
4262,42a3,0000,17059
4263,42a4,0000,17060
4263,42a4,0000,17060
4264,42a4,0000,17060
4264,42a4,0000,17060
